url,nom,prix,scopes,scopes_anciens,statut
https://slack.com/marketplace/A8P8MP1D3-meme-complete,Meme Complete & Slack Integration | Slack Marketplace,Free,chat:write chat:write.public commands,,
https://slack.com/marketplace/A8QLR38M7-urban-dictionary,Urban Dictionary & Slack Integration | Slack Marketplace,,commands,,
https://slack.com/marketplace/A8RM09Q4B-pageclip,Pageclip & Slack Integration | Slack Marketplace,,incoming-webhook,,
https://slack.com/marketplace/A8RNRH3J4-iruca,iruca & Slack Integration | Slack Marketplace,Free and paid plans available,commands incoming-webhook users:read,,
https://slack.com/marketplace/A8SF5G5J7-prosvita,Prosvita & Slack Integration | Slack Marketplace,Free,channels:history channels:join channels:read chat:write email openid profile team:read users:read,,
https://slack.com/marketplace/A8UQX3CKX-peakmetrics,PeakMetrics & Slack Integration | Slack Marketplace,Paid with free trial,incoming-webhook,,
https://slack.com/marketplace/A8VK125AS-miro,Miro & Slack Integration | Slack Marketplace,Free,canvases:read canvases:write channels:history channels:read chat:write chat:write.public commands email groups:history groups:read identity.avatar identity.basic identity.email identity.team im:history im:read im:write links.embed:write links:read links:write mcp:connect mpim:history mpim:read openid profile remote_files:write search:read.files search:read.im search:read.mpim search:read.private search:read.public search:read.users users:read users:read.email,,
https://slack.com/marketplace/A8W3MP4T0-sine,Sine & Slack Integration | Slack Marketplace,Paid with free trial,channels:read chat:write chat:write.public groups:read im:history users:read users:read.email,,
https://slack.com/marketplace/A8W8QLZD1-bitbucket-cloud,Bitbucket Cloud & Slack Integration | Slack Marketplace,Free,app_mentions:read channels:history channels:read channels:write chat:write chat:write.public commands dnd:read groups:history groups:read groups:write im:history im:read im:write links:read links:write mpim:history mpim:read mpim:write team:read users.profile:read users:read users:read.email,,
https://slack.com/marketplace/A8X0UUVLJ-zoho-flow,Zoho Flow & Slack Integration | Slack Marketplace,,channels:history channels:read channels:write chat:write:bot chat:write:user groups:history groups:read im:read reminders:write stars:read users.profile:write users:read,,
https://slack.com/marketplace/A8X9VEW2Y-storyblok,Storyblok & Slack Integration | Slack Marketplace,,incoming-webhook,,
https://slack.com/marketplace/A8XS1U7UM-estimo,Estimo & Slack Integration | Slack Marketplace,,bot channels:history channels:read chat:write:bot commands dnd:read emoji:read files:read files:write:user groups:history groups:read im:history im:read im:write links:read links:write mpim:history mpim:read mpim:write pins:read pins:write reactions:read reactions:write rtm:stream stars:read stars:write team:read usergroups:read users:read users:read.email users:write,bot,classic
https://slack.com/marketplace/A8YM3GLUV-visible,Visible & Slack Integration | Slack Marketplace,Paid with free trial,channels:read chat:write chat:write.public groups:read,,
https://slack.com/marketplace/A8Z9J2Z1S-lunch-buddies,Lunch Buddies & Slack Integration | Slack Marketplace,Paid with free trial,app_mentions:read channels:read chat:write commands groups:read im:history im:write mpim:write team:read users:read,,
https://slack.com/marketplace/A8ZJUEL0K-vibe,Vibe & Slack Integration | Slack Marketplace,Free,chat:write email links:read links:write openid profile,,
https://slack.com/marketplace/A91840AT1-blackbell,Blackbell & Slack Integration | Slack Marketplace,,chat:write:bot groups:read groups:write,,
https://slack.com/marketplace/A918JCNLB-userstory,UserStory & Slack Integration | Slack Marketplace,,channels:read chat:write:user groups:read im:read users:read,,
